--- Sheet: Account ---
,,,,,,,
,,,,,,,
TC03_004,TS03 - Kiểm tra quy trình đặt chuyến xe,Khách hàng không chọn loại xe,Khách hàng đã đăng nhập,1. Nhập điểm đón,VehicleType: null,Hệ thống thông báo yêu cầu chọn loại xe và không tạo chuyến,Medium
,,,,2. Nhập điểm đến,,,
,,,,3. Không chọn loại xe,,,
,,,,4. Gửi yêu cầu,,,
TC03_005,TS03 - Kiểm tra quy trình đặt chuyến xe,Khách hàng nhập loại xe không tồn tại,Khách hàng đã đăng nhập,1. Nhập thông tin chuyến,"VehicleType: ""PLANE""",Hệ thống từ chối yêu cầu do loại xe không hợp lệ,Medium
,,,,2. Nhập loại xe không hợp lệ,,,
,,,,3. Gửi yêu cầu,,,
TC03_006,TS03 - Kiểm tra quy trình đặt chuyến xe,Khách hàng nhập điểm đón và điểm đến giống nhau,Khách hàng đã đăng nhập,1. Nhập điểm đón,PickupLocation: IUH,Hệ thống kiểm tra điều kiện chuyến và xử lý theo quy định nghiệp vụ,Medium
,,,,2. Nhập cùng địa điểm làm điểm đến,Destination: IUH,,
,,,,3. Gửi yêu cầu,,,
TC03_007,TS03 - Kiểm tra quy trình đặt chuyến xe,Kiểm tra giá trị biên thời gian đặt chuyến,Khách hàng đã đăng nhập,1. Nhập thời gian đón ở giới hạn cho phép,PickupTime = thời gian hiện tại,Hệ thống chấp nhận nếu thỏa điều kiện thời gian,Medium
,,,,2. Gửi yêu cầu,,,
TC03_008,TS03 - Kiểm tra quy trình đặt chuyến xe,Khách hàng nhập thời gian đón không hợp lệ,Khách hàng đã đăng nhập,1. Nhập thời gian trong quá khứ,PickupTime: 01/01/2020,Hệ thống từ chối tạo chuyến và thông báo thời gian không hợp lệ,Medium
,,,,2. Gửi yêu cầu,,,
TC03_009,TS03 - Kiểm tra quy trình đặt chuyến xe,Điểm đón vượt quá giới hạn dữ liệu cho phép,Khách hàng đã đăng nhập,1. Nhập địa chỉ có độ dài vượt giới hạn,PickupLocation > MaxLength,Hệ thống trả lỗi validation và không tạo chuyến,Low
,,,,2. Gửi yêu cầu,,,
TC03_010,TS03 - Kiểm tra quy trình đặt chuyến xe,Request tạo chuyến thiếu thuộc tính bắt buộc,API đặt chuyến đang hoạt động,1. Gửi request API,Request không có destination,API trả lỗi Bad Request và không tạo chuyến,High
,,,,2. Bỏ thiếu thuộc tính trong JSON,,,
TC03_011,TS03 - Kiểm tra quy trình đặt chuyến xe,Khách hàng chưa đăng nhập thực hiện đặt chuyến,API yêu cầu xác thực,1. Gửi yêu cầu tạo chuyến,Authorization: null,API trả lỗi Unauthorized,High
,,,,2. Không gửi token,,,
TC03_012,TS03 - Kiểm tra quy trình đặt chuyến xe,Khách hàng không tồn tại trong hệ thống,API đang hoạt động,1. Gửi yêu cầu tạo chuyến với customerId không tồn tại,CustomerId: C999,Hệ thống trả lỗi không tìm thấy khách hàng,High
TC03_013,TS03 - Kiểm tra quy trình đặt chuyến xe,Lỗi hệ thống khi lưu thông tin chuyến,Database xảy ra lỗi,1. Gửi yêu cầu tạo chuyến hợp lệ,Database timeout,"API trả lỗi hệ thống, không tạo dữ liệu không hoàn chỉnh",High
,,,,2. Database không phản hồi,,,

--- Sheet: Matching & Dispatch ---
Test Case ID,Test Scenario,Test Case,Preconditions,Test Steps,Test Data,Expected Result,Priority
TC04_001,TS04 - Kiểm tra quy trình tìm kiếm và phân công tài xế,Hệ thống tìm được tài xế phù hợp,Đã có yêu cầu đặt chuyến hợp lệ,1. Hệ thống nhận yêu cầu tìm tài xế,TripId: T001,Hệ thống tìm và trả về tài xế phù hợp,High
,,,,2. Kiểm tra danh sách tài xế,DriverId: D001,,
,,,,3. Chọn tài xế phù hợp,Status: Available,,
,,,,,Distance: 2km,,
TC04_002,TS04 - Kiểm tra quy trình tìm kiếm và phân công tài xế,Không chọn tài xế đang bận,Có nhiều tài xế trong hệ thống,1. Tìm kiếm tài xế,Driver A: Busy,Hệ thống bỏ qua tài xế Busy và chọn tài xế Available,High
,,,,2. Kiểm tra trạng thái tài xế,Driver B: Available,,
TC04_003,TS04 - Kiểm tra quy trình tìm kiếm và phân công tài xế,Ưu tiên tài xế gần khách hàng hơn,Có nhiều tài xế Available,1. Hệ thống lấy danh sách tài xế,Driver A: 1km,Hệ thống ưu tiên tài xế gần khách hàng hơn,High
,,,,2. So sánh khoảng cách,Driver B: 5km,,
,,,,3. Chọn tài xế phù hợp,Status: Available,,
TC04_004,TS04 - Kiểm tra quy trình tìm kiếm và phân công tài xế,Không có tài xế Available,Có yêu cầu đặt chuyến,1. Hệ thống tìm kiếm tài xế,Available Driver = 0,Hệ thống không phân công tài xế và cập nhật trạng thái chờ xử lý,High
,,,,2. Không có tài xế phù hợp,,,
TC04_005,TS04 - Kiểm tra quy trình tìm kiếm và phân công tài xế,Tài xế nhận chuyến thành công,Tài xế đang Available,1. Gửi yêu cầu nhận chuyến,DriverId: D001,Hệ thống xác nhận tài xế nhận chuyến thành công và cập nhật phân công,High
,,,,2. Tài xế xác nhận nhận chuyến,Status: Available,,
,,,,,TripId: T001,,
TC04_006,TS04 - Kiểm tra quy trình tìm kiếm và phân công tài xế,Tài xế từ chối chuyến,Tài xế đã nhận yêu cầu chuyến,1. Tài xế chọn từ chối,DriverId: D001,Hệ thống ghi nhận từ chối và tiếp tục tìm tài xế khác,High
,,,,2. Gửi phản hồi từ chối,Action: Reject,,
TC04_007,TS04 - Kiểm tra quy trình tìm kiếm và phân công tài xế,Tài xế không phản hồi trong thời gian quy định,Hệ thống đã gửi yêu cầu nhận chuyến,1. Gửi yêu cầu nhận chuyến,ResponseTime > Timeout,Hệ thống xem như tài xế không nhận chuyến và tiếp tục tìm tài xế khác,High
,,,,2. Chờ hết thời gian phản hồi,,,
TC04_008,TS04 - Kiểm tra quy trình tìm kiếm và phân công tài xế,Tài xế không tồn tại trong hệ thống,Có yêu cầu phân công,1. Gửi thông tin tài xế,DriverId: D999,Hệ thống trả lỗi không tìm thấy tài xế,Medium
,,,,2. Kiểm tra dữ liệu,,,
TC04_009,TS04 - Kiểm tra quy trình tìm kiếm và phân công tài xế,Không truyền mã chuyến xe,API tìm kiếm tài xế hoạt động,1. Gửi request tìm tài xế,TripId: null,API trả lỗi dữ liệu bắt buộc,High
,,,,2. Không truyền TripId,,,
TC04_010,TS04 - Kiểm tra quy trình tìm kiếm và phân công tài xế,Vị trí tài xế không hợp lệ,Có yêu cầu tìm tài xế,1. Lấy thông tin vị trí tài xế,Latitude: null,Hệ thống không sử dụng tài xế có vị trí không hợp lệ,Medium
,,,,2. Kiểm tra dữ liệu vị trí,Longitude: null,,
TC04_011,TS04 - Kiểm tra quy trình tìm kiếm và phân công tài xế,Hết thời gian tìm tài xế,Có yêu cầu đặt chuyến,1. Hệ thống tìm kiếm tài xế,SearchTime > Timeout,Hệ thống thông báo khách hàng không tìm được tài xế,High
,,,,2. Quá thời gian quy định không có kết quả,,,
TC04_012,TS04 - Kiểm tra quy trình tìm kiếm và phân công tài xế,Lỗi dịch vụ tìm tài xế,Driver Service gặp lỗi,1. Gửi yêu cầu tìm tài xế,Driver Service: Timeout,API trả lỗi hệ thống và ghi nhận lỗi xử lý,High
,,,,2. Service không phản hồi,,,

--- Sheet: Trip Tracking ---
Test Case ID,Test Scenario,Test Case,Preconditions,Test Steps,Test Data,Expected Result,Priority
TC05_001,TS05 - Kiểm tra quy trình thực hiện và theo dõi chuyến xe,Tài xế cập nhật trạng thái chuyến theo đúng quy trình,Tài xế đã được phân công chuyến,1. Tài xế nhận chuyến,TripId: T001,Hệ thống cập nhật trạng thái chuyến thành công theo đúng trình tự,High
,,,,2. Cập nhật trạng thái theo thứ tự,Status: ACCEPTED → ARRIVED → PICKED_UP → COMPLETED,,
,,,,3. Hoàn thành chuyến,,,
TC05_002,TS05 - Kiểm tra quy trình thực hiện và theo dõi chuyến xe,Tài xế cập nhật trạng thái đã đến điểm đón,Tài xế đã nhận chuyến,1. Tài xế di chuyển đến điểm đón,TripId: T001,Hệ thống cập nhật trạng thái chuyến là đã đến điểm đón,High
,,,,2. Cập nhật trạng thái,Status: ARRIVED,,
TC05_003,TS05 - Kiểm tra quy trình thực hiện và theo dõi chuyến xe,Tài xế cập nhật trạng thái đón khách,Tài xế đã đến điểm đón,1. Tài xế đón khách,TripId: T001,Hệ thống cập nhật trạng thái chuyến là đã đón khách,High
,,,,2. Cập nhật trạng thái,Status: PICKED_UP,,
TC05_004,TS05 - Kiểm tra quy trình thực hiện và theo dõi chuyến xe,Tài xế cập nhật trạng thái hoàn thành chuyến,Chuyến đang ở trạng thái đang di chuyển,1. Tài xế hoàn thành chuyến,TripId: T001,Hệ thống cập nhật chuyến hoàn thành thành công,High
,,,,2. Cập nhật trạng thái,Status: COMPLETED,,
TC05_005,TS05 - Kiểm tra quy trình thực hiện và theo dõi chuyến xe,Tài xế cập nhật trạng thái sai thứ tự,Chuyến chưa đến điểm đón,1. Gửi yêu cầu cập nhật trạng thái,Current Status: ACCEPTED,Hệ thống từ chối cập nhật do sai quy trình trạng thái,High
,,,,2. Bỏ qua bước trước đó,New Status: COMPLETED,,
TC05_006,TS05 - Kiểm tra quy trình thực hiện và theo dõi chuyến xe,Tài xế không được phân công cập nhật chuyến,Chuyến đã có tài xế khác nhận,1. Tài xế khác gửi yêu cầu cập nhật,DriverId: D002,Hệ thống từ chối cập nhật vì tài xế không có quyền xử lý chuyến,High
,,,,,TripId: T001,,
TC05_007,TS05 - Kiểm tra quy trình thực hiện và theo dõi chuyến xe,Cập nhật trạng thái chuyến không tồn tại,API cập nhật trạng thái hoạt động,1. Gửi yêu cầu cập nhật trạng thái,TripId: T999,Hệ thống trả lỗi không tìm thấy chuyến xe,Medium
,,,,,Status: ARRIVED,,
TC05_008,TS05 - Kiểm tra quy trình thực hiện và theo dõi chuyến xe,Cập nhật trạng thái không truyền trạng thái mới,Tài xế đã nhận chuyến,1. Gửi request cập nhật trạng thái,TripId: T001,API trả lỗi dữ liệu bắt buộc,High
,,,,2. Không truyền status,Status: null,,
TC05_009,TS05 - Kiểm tra quy trình thực hiện và theo dõi chuyến xe,Giá trị trạng thái không hợp lệ,Chuyến đang hoạt động,1. Gửi trạng thái không tồn tại,Status: UNKNOWN,Hệ thống từ chối trạng thái không hợp lệ,Medium
TC05_010,TS05 - Kiểm tra quy trình thực hiện và theo dõi chuyến xe,Khách hàng xem trạng thái chuyến đang hoạt động,Chuyến đã được tạo và có tài xế,1. Khách hàng mở theo dõi chuyến,TripId: T001,Hệ thống trả về trạng thái hiện tại và thông tin tài xế,High
,,,,2. Gửi yêu cầu xem trạng thái,,,
TC05_011,TS05 - Kiểm tra quy trình thực hiện và theo dõi chuyến xe,Khách hàng xem thông tin chuyến chưa có tài xế,Chuyến đang tìm tài xế,1. Khách hàng xem trạng thái chuyến,TripStatus: SEARCHING_DRIVER,"Hệ thống trả về trạng thái tìm tài xế, chưa có thông tin tài xế",Medium
TC05_012,TS05 - Kiểm tra quy trình thực hiện và theo dõi chuyến xe,Cập nhật vị trí tài xế hợp lệ,Tài xế đang thực hiện chuyến,1. Gửi vị trí hiện tại của tài xế,DriverId: D001,Hệ thống lưu vị trí tài xế thành công,High
,,,,,Latitude: 10.8386,,
,,,,,Longitude: 106.6676,,
TC05_013,TS05 - Kiểm tra quy trình thực hiện và theo dõi chuyến xe,Cập nhật vị trí tài xế thiếu dữ liệu,Tài xế đang thực hiện chuyến,1. Gửi vị trí tài xế,Latitude: null,Hệ thống từ chối lưu vị trí không hợp lệ,Medium
,,,,2. Thiếu tọa độ,Longitude: null,,
TC05_014,TS05 - Kiểm tra quy trình thực hiện và theo dõi chuyến xe,Kiểm tra giá trị biên tọa độ vị trí,Tài xế đang thực hiện chuyến,1. Gửi vị trí biên hợp lệ,Latitude: -90 hoặc 90,Hệ thống chấp nhận nếu nằm trong giới hạn tọa độ hợp lệ,Low
,,,,,Longitude: -180 hoặc 180,,
TC05_015,TS05 - Kiểm tra quy trình thực hiện và theo dõi chuyến xe,Lỗi hệ thống khi cập nhật trạng thái chuyến,Service chuyến xe gặp lỗi,1. Gửi yêu cầu cập nhật trạng thái hợp lệ,Database timeout,API trả lỗi hệ thống và không cập nhật trạng thái sai,High
,,,,2. Service lỗi,,,

--- Sheet: Fare & Payment ---
Test Case ID,Test Scenario,Test Case,Preconditions,Test Steps,Test Data,Expected Result,Priority
TC06_001,TS06 - Kiểm tra quy trình tính cước và thanh toán chuyến xe,Hệ thống tính cước khi chuyến hoàn thành,Chuyến xe đã hoàn thành,1. Cập nhật trạng thái chuyến hoàn thành,TripId: T001,Hệ thống tính toán số tiền cần thanh toán và lưu kết quả,High
,,,,2. Yêu cầu tính cước,Distance: 10km,,
,,,,,Status: Completed,,
TC06_002,TS06 - Kiểm tra quy trình tính cước và thanh toán chuyến xe,Không tính cước khi chuyến chưa hoàn thành,Chuyến xe đang thực hiện,1. Gửi yêu cầu tính cước,TripStatus: InProgress,Hệ thống không thực hiện tính cước và trả thông báo trạng thái chưa hợp lệ,High
TC06_003,TS06 - Kiểm tra quy trình tính cước và thanh toán chuyến xe,Tính cước với dữ liệu chuyến hợp lệ,Chuyến đã hoàn thành,1. Lấy thông tin chuyến,Distance: 15km,Hệ thống trả về đúng số tiền theo quy định giá,High
,,,,2. Tính cước,VehicleType: Car,,
TC06_004,TS06 - Kiểm tra quy trình tính cước và thanh toán chuyến xe,Tính cước khi thiếu thông tin chuyến,Chuyến hoàn thành nhưng thiếu dữ liệu,1. Gửi yêu cầu tính cước,Distance: null,Hệ thống không tính cước và trả lỗi dữ liệu thiếu,High
TC06_005,TS06 - Kiểm tra quy trình tính cước và thanh toán chuyến xe,Tính cước với khoảng cách bằng 0,Chuyến đã hoàn thành,1. Gửi yêu cầu tính cước,Distance: 0 km,Hệ thống xử lý theo quy định giá hoặc trả lỗi nếu không hợp lệ,Medium
TC06_006,TS06 - Kiểm tra quy trình tính cước và thanh toán chuyến xe,Kiểm tra giá trị biên khoảng cách chuyến đi,Chuyến đã hoàn thành,1. Gửi dữ liệu khoảng cách ở giới hạn cho phép,Distance: MaxDistance,Hệ thống tính cước thành công nếu dữ liệu hợp lệ,Medium
TC06_007,TS06 - Kiểm tra quy trình tính cước và thanh toán chuyến xe,Thanh toán chuyến xe bằng tiền mặt,Chuyến đã có cước phí,1. Chọn phương thức tiền mặt,PaymentMethod: Cash,Hệ thống ghi nhận thanh toán thành công,High
,,,,2. Xác nhận thanh toán,Amount: 150000,,
TC06_008,TS06 - Kiểm tra quy trình tính cước và thanh toán chuyến xe,Thanh toán điện tử thành công,Chuyến đã có cước phí,1. Chọn thanh toán điện tử,PaymentMethod: Online,Hệ thống ghi nhận giao dịch thành công và cập nhật trạng thái thanh toán,High
,,,Nhà cung cấp thanh toán hoạt động,2. Xác nhận giao dịch,Amount:150000,,
TC06_009,TS06 - Kiểm tra quy trình tính cước và thanh toán chuyến xe,Thanh toán điện tử thất bại,Chọn phương thức thanh toán điện tử,1. Gửi yêu cầu thanh toán,PaymentStatus: Failed,Hệ thống ghi nhận giao dịch thất bại và thông báo cho khách hàng,High
,,,,2. Nhà cung cấp trả lỗi,,,
TC06_010,TS06 - Kiểm tra quy trình tính cước và thanh toán chuyến xe,Thanh toán lại sau khi thất bại,Giao dịch trước đó thất bại,1. Chọn thanh toán lại,TransactionId: TR001,Hệ thống cho phép thực hiện lại thanh toán và cập nhật kết quả mới,High
,,,,2. Thực hiện giao dịch mới,,,
TC06_011,TS06 - Kiểm tra quy trình tính cước và thanh toán chuyến xe,Thanh toán không có số tiền cần trả,Chuyến chưa có cước,1. Gửi yêu cầu thanh toán,Amount: null,Hệ thống từ chối thanh toán do thiếu số tiền,High
TC06_012,TS06 - Kiểm tra quy trình tính cước và thanh toán chuyến xe,Thanh toán với số tiền không hợp lệ,Chuyến đã hoàn thành,1. Gửi yêu cầu thanh toán,Amount: -10000,Hệ thống từ chối giao dịch do số tiền không hợp lệ,Medium
TC06_013,TS06 - Kiểm tra quy trình tính cước và thanh toán chuyến xe,Giao dịch thanh toán bị timeout,Nhà cung cấp thanh toán gặp lỗi,1. Gửi yêu cầu thanh toán điện tử,Payment Gateway Timeout,Hệ thống ghi nhận lỗi giao dịch và thông báo thanh toán chưa hoàn tất,High
,,,,2. Chờ phản hồi,,,
TC06_014,TS06 - Kiểm tra quy trình tính cước và thanh toán chuyến xe,Nhà cung cấp thanh toán trả lỗi hệ thống,Thanh toán điện tử đang thực hiện,1. Gửi giao dịch,Payment Provider Error,"Hệ thống xử lý lỗi, lưu trạng thái thất bại và cho phép thử lại",High
,,,,2. Provider trả lỗi 500,,,

--- Sheet: Notification & Rating ---
Test Case ID,Test Scenario,Test Case,Preconditions,Test Steps,Test Data,Expected Result,Priority
TC07_001,"TS07 - Kiểm tra quy trình thông báo, lịch sử và đánh giá chuyến đi",Gửi thông báo khi khách hàng tạo chuyến thành công,Khách hàng đăng nhập và tạo chuyến thành công,1. Khách hàng gửi yêu cầu đặt xe,TripId: T001,Hệ thống gửi thông báo tiếp nhận yêu cầu đặt xe cho khách hàng,High
,,,,2. Hệ thống xử lý tạo chuyến,Status: Created,,
TC07_002,"TS07 - Kiểm tra quy trình thông báo, lịch sử và đánh giá chuyến đi",Gửi thông báo khi tài xế nhận chuyến,Chuyến đã được tạo và có tài xế nhận,1. Tài xế nhận chuyến,DriverId: D001,Khách hàng nhận được thông báo thông tin tài xế đã nhận chuyến,High
,,,,2. Hệ thống cập nhật phân công,TripId: T001,,
TC07_003,"TS07 - Kiểm tra quy trình thông báo, lịch sử và đánh giá chuyến đi",Gửi thông báo khi tài xế đến điểm đón,Tài xế đã nhận chuyến,1. Tài xế cập nhật trạng thái đến điểm đón,Status: ARRIVED,Hệ thống gửi thông báo tài xế đã đến điểm đón,High
